,Temperature,Latitude,Longitude,Humidity,Wind Speed,Cloud,Country,Date,City
275,72.64,37.4636,-122.4286,72,19.57,40,US,1627433716,half moon bay
276,90.25,42.8,93.45,15,10.87,19,CN,1627432938,hami
277,47.91,70.6333,147.9167,51,12.17,95,RU,1627433211,chokurdakh
278,80.1,20.15,92.9,90,16.62,100,MM,1627433741,akyab
279,64.47,-15.1961,12.1522,86,2.21,0,AO,1627433593,namibe
280,51.4,-10.8764,26.5969,54,4.79,100,CD,1627433742,kambove
281,40.5,64.8989,45.7622,93,4.21,77,RU,1627433742,leshukonskoye
282,66.81,50.6309,38.6903,56,0.74,29,RU,1627433742,alekseyevka
283,53.65,-33.0117,17.9442,70,7.63,100,ZA,1627433392,saldanha
284,63.77,46.1333,25.5333,77,2.33,4,RO,1627433743,varghis
285,70.56,34.6391,-120.4579,77,13.8,10,US,1627433426,lompoc
286,79.45,-6.4622,108.4519,70,6.51,44,ID,1627433743,karangampel
287,80.47,-13.8483,136.4192,69,4.61,56,AU,1627433468,alyangula
288,86.09,-3.3667,135.4833,65,0.74,84,ID,1627433555,nabire
289,81.32,40.4272,71.7189,41,4.61,2,UZ,1627433744,komsomolskiy
290,76.08,-1.6,103.6167,77,4.5,100,ID,1627433744,jambi
291,48.04,-30.1811,-50.2056,53,18.61,4,BR,1627433247,cidreira
292,43.09,68.0546,166.4372,78,3.31,100,RU,1627433424,bilibino
293,77.13,25.5198,90.2201,94,3.22,92,IN,1627433506,tura
294,49.91,66.0449,-17.3389,99,9.28,100,IS,1627432989,husavik
295,76.93,18.0858,-15.9785,85,15.52,100,MR,1627433745,nouakchott
296,62.01,66.5,25.7167,67,9.22,90,FI,1627433718,rovaniemi
297,56.98,49.7834,-74.8492,66,3.56,58,CA,1627433745,chapais
298,82.47,5.1033,73.0708,75,15.1,99,MV,1627433746,eydhafushi
299,78.87,39.1834,-84.5333,72,1.57,7,US,1627433604,hamilton
300,93.06,25.8667,-109.1167,59,7.0,7,MX,1627433746,bagojo
301,79.75,18.3258,72.965,85,17.0,100,IN,1627433746,murud
302,58.5,55.1956,80.2811,66,3.76,100,RU,1627433746,kargat
303,69.78,56.5419,21.0367,88,5.75,55,LV,1627433747,liepaja
304,70.32,35.1186,-120.5907,69,12.66,1,US,1627433747,arroyo grande
305,77.92,16.1525,36.2032,78,11.41,36,SD,1627433747,wagar
306,78.35,10.1483,-85.452,91,2.64,100,CR,1627433748,nicoya
307,75.56,43.6125,122.2653,79,2.62,100,CN,1627433748,tongliao
308,77.94,5.2056,103.2059,81,2.71,99,MY,1627433748,marang
309,73.49,46.4167,21.1833,45,6.67,100,HU,1627433749,kevermes
310,84.83,46.4856,135.8833,60,1.3,79,RU,1627433250,vostok
311,71.62,-8.9266,125.4092,37,4.76,91,TL,1627433672,airai
312,80.8,2.9167,73.5667,79,11.72,100,MV,1627433232,muli
313,74.07,-6.9811,-34.8339,85,9.42,48,BR,1627433667,cabedelo
314,77.22,-5.795,-35.2094,88,6.91,40,BR,1627433486,natal
315,66.0,47.5999,-53.2648,98,5.01,100,CA,1627433749,bay roberts
316,53.02,-28.55,16.4333,84,4.56,0,NA,1627433262,oranjemund
317,52.16,64.5667,143.2,72,9.55,100,RU,1627433653,ust-nera
